address_id,customer_id,address_type,street_address,city,postal_code,country_id
59,30,SHIPPING,268 Shipping Way,Tokyo,83005,CA
60,30,BILLING,899 Billing Ave,Tokyo,18015,JP
61,31,SHIPPING,120 Shipping Way,Toronto,96455,JP
62,31,BILLING,686 Billing Ave,Phoenix,98504,CA
63,32,SHIPPING,993 Shipping Way,Chicago,70091,US
64,32,BILLING,97 Billing Ave,Chicago,17362,DE
65,33,SHIPPING,733 Shipping Way,London,90332,CA
66,33,BILLING,403 Billing Ave,Los Angeles,41061,DE
67,34,SHIPPING,468 Shipping Way,Paris,90199,CA
68,34,BILLING,870 Billing Ave,Phoenix,34790,JP
69,35,SHIPPING,444 Shipping Way,Phoenix,49342,JP
70,35,BILLING,99 Billing Ave,Tokyo,61317,CA
71,36,SHIPPING,731 Shipping Way,Tokyo,47384,DE
72,36,BILLING,252 Billing Ave,Tokyo,91173,US
73,37,SHIPPING,824 Shipping Way,London,52558,DE
74,37,BILLING,287 Billing Ave,New York,18523,JP
75,38,SHIPPING,853 Shipping Way,Houston,20886,UK
76,38,BILLING,513 Billing Ave,Paris,12535,CA
77,39,SHIPPING,182 Shipping Way,Los Angeles,50331,CA
78,39,BILLING,733 Billing Ave,Tokyo,81340,CA
79,40,SHIPPING,938 Shipping Way,Paris,63276,DE
80,40,BILLING,857 Billing Ave,Los Angeles,33296,UK
81,41,SHIPPING,516 Shipping Way,New York,19749,JP
82,41,BILLING,146 Billing Ave,Berlin,18845,UK
83,42,SHIPPING,344 Shipping Way,Tokyo,71329,DE
84,42,BILLING,172 Billing Ave,Phoenix,71376,UK
85,43,SHIPPING,62 Shipping Way,Los Angeles,80452,US
86,43,BILLING,777 Billing Ave,Los Angeles,82836,CA
87,44,SHIPPING,193 Shipping Way,Chicago,79791,JP
88,44,BILLING,282 Billing Ave,Houston,48621,DE
89,45,SHIPPING,914 Shipping Way,Paris,58207,DE
90,45,BILLING,793 Billing Ave,Los Angeles,66964,UK
91,46,SHIPPING,20 Shipping Way,Chicago,71618,US
92,46,BILLING,873 Billing Ave,Toronto,68115,JP
93,47,SHIPPING,788 Shipping Way,Phoenix,57889,CA
94,47,BILLING,708 Billing Ave,Toronto,24097,US
95,48,SHIPPING,568 Shipping Way,Berlin,51902,UK
96,48,BILLING,844 Billing Ave,New York,97362,UK
97,49,SHIPPING,461 Shipping Way,Los Angeles,51660,CA
98,49,BILLING,894 Billing Ave,Chicago,43790,DE
99,50,SHIPPING,929 Shipping Way,London,65585,UK
100,50,BILLING,888 Billing Ave,Toronto,27416,US
101,51,SHIPPING,249 Shipping Way,Los Angeles,58166,UK
102,51,BILLING,688 Billing Ave,Toronto,68611,JP
103,52,SHIPPING,176 Shipping Way,Tokyo,32938,UK
104,52,BILLING,523 Billing Ave,Chicago,15365,UK
105,53,SHIPPING,930 Shipping Way,Los Angeles,28685,UK
106,53,BILLING,478 Billing Ave,Chicago,66000,DE
107,54,SHIPPING,450 Shipping Way,Toronto,26067,UK
108,54,BILLING,500 Billing Ave,Houston,71417,DE
109,55,SHIPPING,443 Shipping Way,London,21707,DE
110,55,BILLING,909 Billing Ave,Toronto,58981,DE
111,56,SHIPPING,432 Shipping Way,Paris,24420,CA
112,56,BILLING,330 Billing Ave,Tokyo,31695,CA
113,57,SHIPPING,105 Shipping Way,New York,48178,DE
114,57,BILLING,761 Billing Ave,Chicago,77422,JP
115,58,SHIPPING,540 Shipping Way,Paris,75918,DE
116,58,BILLING,768 Billing Ave,Phoenix,96488,DE
117,59,SHIPPING,594 Shipping Way,New York,14998,CA
118,59,BILLING,298 Billing Ave,Berlin,48380,US
119,60,SHIPPING,813 Shipping Way,Toronto,51261,UK
120,60,BILLING,73 Billing Ave,Toronto,39955,CA
121,61,SHIPPING,217 Shipping Way,Los Angeles,15735,UK
122,61,BILLING,657 Billing Ave,Phoenix,96067,US
123,62,SHIPPING,463 Shipping Way,Berlin,36935,UK
124,62,BILLING,612 Billing Ave,Chicago,75920,JP
125,63,SHIPPING,322 Shipping Way,Chicago,46203,DE
126,63,BILLING,663 Billing Ave,Phoenix,37843,CA
127,64,SHIPPING,959 Shipping Way,Chicago,47018,UK
128,64,BILLING,227 Billing Ave,Berlin,11129,DE
129,65,SHIPPING,81 Shipping Way,Toronto,85834,JP
130,65,BILLING,54 Billing Ave,London,17450,CA
131,66,SHIPPING,321 Shipping Way,Los Angeles,78434,UK
132,66,BILLING,549 Billing Ave,Paris,76256,JP
133,67,SHIPPING,633 Shipping Way,London,78928,JP
134,67,BILLING,744 Billing Ave,Los Angeles,66975,CA
135,68,SHIPPING,403 Shipping Way,London,45708,DE
136,68,BILLING,71 Billing Ave,Phoenix,22098,DE
137,69,SHIPPING,36 Shipping Way,Los Angeles,57313,CA
138,69,BILLING,509 Billing Ave,Paris,12914,JP
139,70,SHIPPING,911 Shipping Way,Phoenix,66896,US
140,70,BILLING,49 Billing Ave,Chicago,35917,CA
141,71,SHIPPING,935 Shipping Way,Phoenix,43605,CA
142,71,BILLING,343 Billing Ave,Chicago,19689,US
143,72,SHIPPING,117 Shipping Way,London,86263,DE
144,72,BILLING,161 Billing Ave,Houston,92057,UK
145,73,SHIPPING,609 Shipping Way,New York,65905,UK
146,73,BILLING,762 Billing Ave,Los Angeles,30288,DE
147,74,SHIPPING,453 Shipping Way,London,91129,US
148,74,BILLING,688 Billing Ave,London,26259,JP
149,75,SHIPPING,898 Shipping Way,Houston,43392,US
150,75,BILLING,609 Billing Ave,Paris,77043,UK
151,76,SHIPPING,456 Shipping Way,New York,23515,DE
152,76,BILLING,662 Billing Ave,Phoenix,11931,DE
153,77,SHIPPING,582 Shipping Way,Toronto,85533,UK
154,77,BILLING,579 Billing Ave,Chicago,23371,JP
155,78,SHIPPING,106 Shipping Way,Berlin,68046,US
156,78,BILLING,551 Billing Ave,Tokyo,77378,JP
157,79,SHIPPING,600 Shipping Way,Tokyo,24921,JP
158,79,BILLING,809 Billing Ave,Berlin,92486,US
159,80,SHIPPING,68 Shipping Way,Phoenix,29704,US
160,80,BILLING,137 Billing Ave,New York,22901,JP
161,81,SHIPPING,951 Shipping Way,Chicago,32008,UK
162,81,BILLING,766 Billing Ave,Chicago,85976,US
163,82,SHIPPING,145 Shipping Way,Houston,72621,UK
164,82,BILLING,316 Billing Ave,Toronto,54546,US
165,83,SHIPPING,696 Shipping Way,Los Angeles,85759,US
166,83,BILLING,574 Billing Ave,Phoenix,13943,DE
167,84,SHIPPING,671 Shipping Way,New York,72412,US
168,84,BILLING,359 Billing Ave,Phoenix,27410,UK
169,85,SHIPPING,733 Shipping Way,Tokyo,34532,CA
170,85,BILLING,890 Billing Ave,Berlin,89943,JP
171,86,SHIPPING,462 Shipping Way,New York,87849,US
172,86,BILLING,485 Billing Ave,Berlin,32267,DE
173,87,SHIPPING,299 Shipping Way,Los Angeles,64112,US
174,87,BILLING,426 Billing Ave,Toronto,71947,JP
175,88,SHIPPING,527 Shipping Way,London,14728,CA
176,88,BILLING,191 Billing Ave,Phoenix,47176,DE
177,89,SHIPPING,953 Shipping Way,Phoenix,11111,US
178,89,BILLING,283 Billing Ave,Los Angeles,19301,UK
179,90,SHIPPING,28 Shipping Way,Houston,79404,UK
180,90,BILLING,425 Billing Ave,Paris,26540,JP
181,91,SHIPPING,704 Shipping Way,Paris,39760,US
182,91,BILLING,784 Billing Ave,Houston,10722,US
183,92,SHIPPING,78 Shipping Way,Toronto,84654,CA
184,92,BILLING,333 Billing Ave,Los Angeles,96500,UK
185,93,SHIPPING,21 Shipping Way,Los Angeles,94897,US
186,93,BILLING,554 Billing Ave,Paris,42202,CA
187,94,SHIPPING,991 Shipping Way,New York,45799,CA
188,94,BILLING,785 Billing Ave,Paris,50125,UK
189,95,SHIPPING,773 Shipping Way,Los Angeles,23004,US
190,95,BILLING,724 Billing Ave,Chicago,75930,UK
191,96,SHIPPING,173 Shipping Way,Phoenix,20770,JP
192,96,BILLING,52 Billing Ave,Berlin,91084,DE
193,97,SHIPPING,716 Shipping Way,Tokyo,71657,CA
194,97,BILLING,416 Billing Ave,Paris,30159,JP
195,98,SHIPPING,728 Shipping Way,London,12702,CA
196,98,BILLING,15 Billing Ave,Tokyo,76120,JP
197,99,SHIPPING,392 Shipping Way,Los Angeles,81712,CA
198,99,BILLING,698 Billing Ave,Houston,99480,CA
199,100,SHIPPING,620 Shipping Way,Los Angeles,69591,UK
200,100,BILLING,214 Billing Ave,Paris,55786,UK
201,101,SHIPPING,793 Shipping Way,New York,37044,JP
202,101,BILLING,719 Billing Ave,Tokyo,96841,JP
203,102,SHIPPING,599 Shipping Way,Chicago,37340,UK
204,102,BILLING,479 Billing Ave,Phoenix,40595,US
205,103,SHIPPING,394 Shipping Way,London,58920,CA
206,103,BILLING,742 Billing Ave,London,22935,UK
207,104,SHIPPING,820 Shipping Way,Toronto,25618,CA
208,104,BILLING,652 Billing Ave,Paris,66378,DE
209,105,SHIPPING,612 Shipping Way,Tokyo,94454,JP
210,105,BILLING,821 Billing Ave,Tokyo,17191,DE
211,106,SHIPPING,616 Shipping Way,Toronto,56321,UK
212,106,BILLING,150 Billing Ave,Toronto,17409,JP
213,107,SHIPPING,965 Shipping Way,Berlin,65737,JP
214,107,BILLING,768 Billing Ave,Berlin,98360,JP
215,108,SHIPPING,22 Shipping Way,Berlin,90943,US
216,108,BILLING,66 Billing Ave,Phoenix,56788,DE
217,109,SHIPPING,840 Shipping Way,Tokyo,57454,CA
218,109,BILLING,808 Billing Ave,Tokyo,47382,DE
219,110,SHIPPING,525 Shipping Way,Chicago,16733,US
220,110,BILLING,609 Billing Ave,Berlin,95880,JP
221,111,SHIPPING,886 Shipping Way,Los Angeles,53366,US
222,111,BILLING,525 Billing Ave,Tokyo,41365,JP
223,112,SHIPPING,655 Shipping Way,Paris,18896,CA
224,112,BILLING,435 Billing Ave,Berlin,26583,US
225,113,SHIPPING,301 Shipping Way,Houston,96679,UK
226,113,BILLING,832 Billing Ave,Paris,76011,US
227,114,SHIPPING,426 Shipping Way,Toronto,29232,DE
228,114,BILLING,957 Billing Ave,New York,58408,CA
229,115,SHIPPING,153 Shipping Way,London,42603,JP
230,115,BILLING,535 Billing Ave,New York,97540,DE
231,116,SHIPPING,928 Shipping Way,Houston,15443,UK
232,116,BILLING,47 Billing Ave,Los Angeles,66453,DE
233,117,SHIPPING,242 Shipping Way,London,32564,UK
234,117,BILLING,846 Billing Ave,Houston,89525,UK
235,118,SHIPPING,355 Shipping Way,London,82319,DE
236,118,BILLING,815 Billing Ave,Tokyo,72881,CA
237,119,SHIPPING,836 Shipping Way,Berlin,61680,DE
238,119,BILLING,34 Billing Ave,Houston,53216,CA
239,120,SHIPPING,241 Shipping Way,Phoenix,48645,UK
240,120,BILLING,131 Billing Ave,Los Angeles,18838,UK
241,121,SHIPPING,995 Shipping Way,London,94796,JP
242,121,BILLING,731 Billing Ave,Tokyo,63120,UK
243,122,SHIPPING,12 Shipping Way,Tokyo,91485,DE
244,122,BILLING,73 Billing Ave,Houston,75775,CA
245,123,SHIPPING,572 Shipping Way,Phoenix,14983,DE
246,123,BILLING,332 Billing Ave,Berlin,73499,DE
247,124,SHIPPING,395 Shipping Way,Houston,54686,JP
248,124,BILLING,63 Billing Ave,Berlin,64853,UK
249,125,SHIPPING,419 Shipping Way,Berlin,80479,DE
250,125,BILLING,892 Billing Ave,Berlin,36200,DE
251,126,SHIPPING,187 Shipping Way,Houston,71977,US
252,126,BILLING,59 Billing Ave,Tokyo,23503,DE
253,127,SHIPPING,605 Shipping Way,Phoenix,65770,US
254,127,BILLING,890 Billing Ave,London,53623,DE
255,128,SHIPPING,23 Shipping Way,Toronto,77707,JP
256,128,BILLING,249 Billing Ave,Phoenix,98716,DE
257,129,SHIPPING,209 Shipping Way,Phoenix,66421,JP
258,129,BILLING,451 Billing Ave,Houston,52359,DE
259,130,SHIPPING,614 Shipping Way,Phoenix,12845,US
260,130,BILLING,569 Billing Ave,Berlin,96675,DE
261,131,SHIPPING,758 Shipping Way,Phoenix,38452,UK
262,131,BILLING,194 Billing Ave,Los Angeles,46262,UK
263,132,SHIPPING,315 Shipping Way,New York,67124,JP
264,132,BILLING,597 Billing Ave,Chicago,97233,DE
265,133,SHIPPING,777 Shipping Way,Chicago,22027,DE
266,133,BILLING,699 Billing Ave,Chicago,62287,CA
267,134,SHIPPING,748 Shipping Way,London,19851,US
268,134,BILLING,330 Billing Ave,Paris,76629,CA
269,135,SHIPPING,595 Shipping Way,Toronto,22443,UK
270,135,BILLING,344 Billing Ave,Tokyo,31444,CA
271,136,SHIPPING,376 Shipping Way,Houston,55331,UK
272,136,BILLING,516 Billing Ave,Berlin,61643,US
273,137,SHIPPING,92 Shipping Way,Houston,70845,US
274,137,BILLING,916 Billing Ave,New York,73926,UK
275,138,SHIPPING,824 Shipping Way,New York,98303,UK
276,138,BILLING,211 Billing Ave,Houston,28225,JP
277,139,SHIPPING,18 Shipping Way,Toronto,75573,US
278,139,BILLING,79 Billing Ave,Phoenix,99021,US
279,140,SHIPPING,157 Shipping Way,Phoenix,69742,JP
280,140,BILLING,771 Billing Ave,Phoenix,15290,CA
281,141,SHIPPING,945 Shipping Way,London,46778,JP
282,141,BILLING,72 Billing Ave,Paris,65547,UK
283,142,SHIPPING,727 Shipping Way,London,59213,UK
284,142,BILLING,684 Billing Ave,Chicago,87805,JP
285,143,SHIPPING,661 Shipping Way,New York,24216,JP
286,143,BILLING,651 Billing Ave,New York,23819,US
287,144,SHIPPING,587 Shipping Way,Paris,53172,JP
288,144,BILLING,10 Billing Ave,Tokyo,35795,US
289,145,SHIPPING,163 Shipping Way,Berlin,61840,DE
290,145,BILLING,491 Billing Ave,Houston,90215,JP
291,146,SHIPPING,617 Shipping Way,London,56439,CA
292,146,BILLING,636 Billing Ave,Chicago,50906,US
293,147,SHIPPING,115 Shipping Way,New York,69528,UK
294,147,BILLING,241 Billing Ave,Los Angeles,91789,UK
295,148,SHIPPING,226 Shipping Way,Phoenix,45398,CA
296,148,BILLING,172 Billing Ave,Los Angeles,91722,JP
297,149,SHIPPING,286 Shipping Way,Los Angeles,76810,US
298,149,BILLING,465 Billing Ave,New York,24890,US
299,150,SHIPPING,440 Shipping Way,Los Angeles,12327,DE
300,150,BILLING,352 Billing Ave,Chicago,68065,DE
301,151,SHIPPING,529 Shipping Way,Toronto,39387,US
302,151,BILLING,535 Billing Ave,Los Angeles,77939,CA
303,152,SHIPPING,171 Shipping Way,Paris,97084,CA
304,152,BILLING,461 Billing Ave,Paris,28592,DE
305,153,SHIPPING,582 Shipping Way,Berlin,87796,CA
306,153,BILLING,950 Billing Ave,London,36932,JP
307,154,SHIPPING,732 Shipping Way,Tokyo,81272,CA
308,154,BILLING,301 Billing Ave,London,93956,UK
309,155,SHIPPING,903 Shipping Way,New York,51496,US
310,155,BILLING,480 Billing Ave,Houston,18067,US
311,156,SHIPPING,802 Shipping Way,Tokyo,56018,US
312,156,BILLING,35 Billing Ave,London,72424,UK
313,157,SHIPPING,433 Shipping Way,Toronto,89668,CA
314,157,BILLING,487 Billing Ave,London,80875,US
315,158,SHIPPING,333 Shipping Way,Phoenix,92923,DE
316,158,BILLING,141 Billing Ave,Los Angeles,67019,CA
317,159,SHIPPING,225 Shipping Way,Tokyo,28003,CA
318,159,BILLING,996 Billing Ave,New York,51445,US
319,160,SHIPPING,611 Shipping Way,Phoenix,30513,DE
320,160,BILLING,126 Billing Ave,Berlin,43860,US
321,161,SHIPPING,290 Shipping Way,Toronto,46968,CA
322,161,BILLING,452 Billing Ave,Toronto,80541,UK
323,162,SHIPPING,557 Shipping Way,Houston,60695,US
324,162,BILLING,891 Billing Ave,Tokyo,93103,UK
325,163,SHIPPING,28 Shipping Way,Houston,51412,CA
326,163,BILLING,406 Billing Ave,London,55779,CA
327,164,SHIPPING,787 Shipping Way,Paris,27663,DE
328,164,BILLING,876 Billing Ave,London,98148,JP
329,165,SHIPPING,323 Shipping Way,Phoenix,21477,US
330,165,BILLING,228 Billing Ave,Los Angeles,34258,CA
331,166,SHIPPING,26 Shipping Way,Houston,50129,UK
332,166,BILLING,390 Billing Ave,Toronto,65441,UK
333,167,SHIPPING,717 Shipping Way,Berlin,45842,UK
334,167,BILLING,598 Billing Ave,New York,85145,UK
335,168,SHIPPING,746 Shipping Way,Berlin,37440,DE
336,168,BILLING,894 Billing Ave,Paris,25716,UK
337,169,SHIPPING,633 Shipping Way,Houston,32669,UK
338,169,BILLING,688 Billing Ave,Paris,83485,US
339,170,SHIPPING,973 Shipping Way,Berlin,86973,JP
340,170,BILLING,163 Billing Ave,Paris,51057,US
341,171,SHIPPING,233 Shipping Way,Phoenix,75803,US
342,171,BILLING,370 Billing Ave,Houston,65827,CA
343,172,SHIPPING,345 Shipping Way,Tokyo,31572,US
344,172,BILLING,44 Billing Ave,Chicago,46968,DE
345,173,SHIPPING,467 Shipping Way,Houston,96349,US
346,173,BILLING,486 Billing Ave,Houston,13814,US
347,174,SHIPPING,264 Shipping Way,Los Angeles,77590,CA
348,174,BILLING,350 Billing Ave,London,89307,CA
349,175,SHIPPING,125 Shipping Way,London,40541,UK
350,175,BILLING,160 Billing Ave,Toronto,45481,UK
351,176,SHIPPING,852 Shipping Way,Tokyo,51036,JP
352,176,BILLING,593 Billing Ave,Chicago,71547,UK
353,177,SHIPPING,989 Shipping Way,Chicago,85358,JP
354,177,BILLING,18 Billing Ave,Tokyo,91373,US
355,178,SHIPPING,733 Shipping Way,Houston,18754,JP
356,178,BILLING,840 Billing Ave,Los Angeles,90760,US
357,179,SHIPPING,21 Shipping Way,Paris,11740,UK
358,179,BILLING,817 Billing Ave,Paris,23234,DE
359,180,SHIPPING,54 Shipping Way,Tokyo,43072,JP
360,180,BILLING,107 Billing Ave,London,41706,US
361,181,SHIPPING,749 Shipping Way,Tokyo,46016,CA
362,181,BILLING,35 Billing Ave,Paris,16972,UK
363,182,SHIPPING,505 Shipping Way,London,87655,DE
364,182,BILLING,764 Billing Ave,Tokyo,46033,US
365,183,SHIPPING,985 Shipping Way,Los Angeles,82273,CA
366,183,BILLING,649 Billing Ave,Berlin,32145,US
367,184,SHIPPING,602 Shipping Way,Berlin,29530,US
368,184,BILLING,585 Billing Ave,Chicago,22837,CA
369,185,SHIPPING,821 Shipping Way,Los Angeles,43223,US
370,185,BILLING,88 Billing Ave,London,81651,US
371,186,SHIPPING,181 Shipping Way,New York,40799,CA
372,186,BILLING,116 Billing Ave,London,78517,DE
373,187,SHIPPING,627 Shipping Way,Paris,23277,DE
374,187,BILLING,261 Billing Ave,Paris,74545,JP
375,188,SHIPPING,31 Shipping Way,London,72472,UK
376,188,BILLING,957 Billing Ave,Chicago,23255,JP
377,189,SHIPPING,501 Shipping Way,Tokyo,64686,DE
378,189,BILLING,505 Billing Ave,Tokyo,34816,UK
379,190,SHIPPING,351 Shipping Way,Paris,77179,CA
380,190,BILLING,182 Billing Ave,Phoenix,36264,US
381,191,SHIPPING,112 Shipping Way,Los Angeles,97121,UK
382,191,BILLING,304 Billing Ave,Berlin,21550,UK
383,192,SHIPPING,462 Shipping Way,Chicago,73186,US
384,192,BILLING,395 Billing Ave,New York,58222,UK
385,193,SHIPPING,843 Shipping Way,Toronto,79576,US
386,193,BILLING,329 Billing Ave,London,36962,CA
387,194,SHIPPING,585 Shipping Way,New York,44173,CA
388,194,BILLING,528 Billing Ave,Toronto,72285,UK
389,195,SHIPPING,522 Shipping Way,New York,11644,DE
390,195,BILLING,948 Billing Ave,Berlin,54298,JP
391,196,SHIPPING,248 Shipping Way,Los Angeles,94503,DE
392,196,BILLING,532 Billing Ave,Los Angeles,92556,CA
393,197,SHIPPING,861 Shipping Way,Toronto,51979,DE
394,197,BILLING,383 Billing Ave,Tokyo,81655,DE
395,198,SHIPPING,406 Shipping Way,New York,32608,DE
396,198,BILLING,36 Billing Ave,Berlin,22243,CA
397,199,SHIPPING,347 Shipping Way,New York,55071,JP
398,199,BILLING,205 Billing Ave,London,95341,CA
399,200,SHIPPING,169 Shipping Way,Berlin,10700,UK
400,200,BILLING,710 Billing Ave,Phoenix,97181,JP
401,201,SHIPPING,57 Shipping Way,London,30570,UK
402,201,BILLING,448 Billing Ave,Houston,95808,UK
403,202,SHIPPING,226 Shipping Way,Toronto,13632,CA
404,202,BILLING,95 Billing Ave,Los Angeles,55848,JP
405,203,SHIPPING,46 Shipping Way,Phoenix,50697,DE
406,203,BILLING,247 Billing Ave,Chicago,70385,UK
407,204,SHIPPING,498 Shipping Way,Berlin,71433,DE
408,204,BILLING,772 Billing Ave,Los Angeles,49774,DE
409,205,SHIPPING,979 Shipping Way,Toronto,97690,JP
410,205,BILLING,122 Billing Ave,Chicago,47036,CA
411,206,SHIPPING,386 Shipping Way,Berlin,54383,CA
412,206,BILLING,28 Billing Ave,Toronto,30046,JP
413,207,SHIPPING,224 Shipping Way,New York,62039,JP
414,207,BILLING,302 Billing Ave,Berlin,26921,DE
415,208,SHIPPING,329 Shipping Way,Toronto,54114,US
416,208,BILLING,795 Billing Ave,Houston,56056,JP
417,209,SHIPPING,492 Shipping Way,Berlin,48936,UK
418,209,BILLING,645 Billing Ave,Phoenix,69837,UK
419,210,SHIPPING,133 Shipping Way,Berlin,62189,CA
420,210,BILLING,426 Billing Ave,Chicago,95402,CA
421,211,SHIPPING,108 Shipping Way,Paris,28558,DE
422,211,BILLING,635 Billing Ave,Tokyo,10660,CA
423,212,SHIPPING,816 Shipping Way,Chicago,57462,US
424,212,BILLING,216 Billing Ave,Berlin,19332,JP
425,213,SHIPPING,196 Shipping Way,Houston,98944,DE
426,213,BILLING,222 Billing Ave,Chicago,32270,JP
427,214,SHIPPING,122 Shipping Way,New York,10487,JP
428,214,BILLING,137 Billing Ave,Paris,68761,DE
429,215,SHIPPING,995 Shipping Way,Los Angeles,45778,CA
430,215,BILLING,233 Billing Ave,Houston,90878,CA
431,216,SHIPPING,490 Shipping Way,Los Angeles,75054,UK
432,216,BILLING,118 Billing Ave,Houston,10607,JP
433,217,SHIPPING,298 Shipping Way,London,97032,CA
434,217,BILLING,468 Billing Ave,Paris,73700,JP
435,218,SHIPPING,186 Shipping Way,Chicago,50887,JP
436,218,BILLING,963 Billing Ave,Chicago,10160,CA
437,219,SHIPPING,761 Shipping Way,Houston,26875,JP
438,219,BILLING,311 Billing Ave,Berlin,97295,DE
439,220,SHIPPING,720 Shipping Way,London,58656,CA
440,220,BILLING,253 Billing Ave,New York,81335,US
441,221,SHIPPING,608 Shipping Way,Houston,37823,US
442,221,BILLING,680 Billing Ave,Toronto,73205,CA
443,222,SHIPPING,312 Shipping Way,London,96690,DE
444,222,BILLING,390 Billing Ave,New York,33039,JP
445,223,SHIPPING,361 Shipping Way,London,57342,UK
446,223,BILLING,793 Billing Ave,Phoenix,36329,DE
447,224,SHIPPING,880 Shipping Way,Tokyo,70499,CA
448,224,BILLING,490 Billing Ave,Chicago,17542,CA
449,225,SHIPPING,793 Shipping Way,London,53463,JP
450,225,BILLING,591 Billing Ave,Toronto,50737,UK
451,226,SHIPPING,68 Shipping Way,New York,31220,JP
452,226,BILLING,881 Billing Ave,Phoenix,78064,JP
453,227,SHIPPING,114 Shipping Way,Berlin,34455,CA
454,227,BILLING,182 Billing Ave,Phoenix,17853,JP
455,228,SHIPPING,327 Shipping Way,Chicago,71339,US
456,228,BILLING,857 Billing Ave,London,47088,US
457,229,SHIPPING,143 Shipping Way,Toronto,80173,JP
458,229,BILLING,512 Billing Ave,Los Angeles,67895,DE
459,230,SHIPPING,568 Shipping Way,Chicago,48076,UK
460,230,BILLING,605 Billing Ave,Phoenix,19994,DE
461,231,SHIPPING,843 Shipping Way,Los Angeles,42741,JP
462,231,BILLING,559 Billing Ave,Tokyo,90421,US
463,232,SHIPPING,541 Shipping Way,Houston,81956,CA
464,232,BILLING,426 Billing Ave,Houston,95305,US
465,233,SHIPPING,731 Shipping Way,Houston,98344,US
466,233,BILLING,98 Billing Ave,Houston,72721,US
467,234,SHIPPING,759 Shipping Way,New York,99739,UK
468,234,BILLING,593 Billing Ave,London,43400,DE
469,235,SHIPPING,50 Shipping Way,New York,99625,US
470,235,BILLING,265 Billing Ave,Chicago,61392,CA
471,236,SHIPPING,207 Shipping Way,Paris,41963,DE
472,236,BILLING,91 Billing Ave,Paris,40993,DE
